,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
0,A. Jayson Adair,Adair,a-jayson-adair,no-pic,-12.191,52.0,damaged cars,Automotive,M,United States,1639104902515,TX,Texas,1376.511,2210.0,2210.0,https://specials-images.forbesimg.com/imageserve/5fb529400560bf6784deea95/416x416.jpg?background=000000&cropX1=887&cropX2=1362&cropY1=707&cropY2=1183,,,,,,,
1,Abhay Soi,Soi,abhay-soi,no-pic,31.453,48.0,healthcare,Healthcare,M,India,1639104902515,,,1078.053,2576.0,2576.0,https://specials-images.forbesimg.com/imageserve/612e3dde1434aca16b4d05fb/416x416.jpg?background=000000&cropX1=150&cropX2=827&cropY1=0&cropY2=678,,,,,,,
2,Adam Foroughi,Foroughi,adam-foroughi,no-pic,-147.507,41.0,mobile games,Media & Entertainment,M,United States,1639104902515,CA,California,2536.112,1337.0,1337.0,,,,,,,,
3,Adam Neumann,Neumann,adam-neumann,adam-neumann,-19.834,42.0,WeWork ,Real Estate,M,Israel,1639104902515,NY,New York,1498.747,2081.0,2081.0,//specials-images.forbesimg.com/imageserve/5e76cb36c7b02d000666d2bc/416x416.jpg?background=000000&cropX1=1807&cropX2=3763&cropY1=132&cropY2=2086,,,,,,,
4,Alan Miller & family,Miller,alan-miller-1,no-pic,-5.252,84.0,healthcare services,Healthcare,M,United States,1639104902515,PA,Pennsylvania,1260.555,2338.0,2338.0,,,,,,,,
5,Alan Rydge,Rydge,alan-rydge,alan-rydge,-11.143,69.0,entertainment,Media & Entertainment,M,Australia,1639104902515,,,1091.347,2558.0,2558.0,https://specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,,,,,,,
6,Albert Avdolyan,Avdolyan,albert-avdolyan,no-pic,2.094,51.0,"oil, mining",Energy,M,Russia,1639104902515,,,1096.222,2549.0,2549.0,,,,,,,,
7,Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,-21.611,81.0,automotive brakes,Automotive,M,Italy,1639104902515,,,2692.642,1255.0,1255.0,,,,,,,,
8,Alberto Prada,Prada,alberto-prada,no-pic,-23.644,67.0,luxury goods,Fashion & Retail,M,Italy,1639104902515,,,2251.58,1479.0,1479.0,,,,,,,,
9,Alex Beard,Beard,alex-beard,alex-beard,-5.815,54.0,"mining, commodities",Metals & Mining,M,United Kingdom,1639104902515,,,1803.269,1781.0,1781.0,//specials-images.forbesimg.com/imageserve/5c7278914bbe6f51818abdca/416x416.jpg?background=000000&cropX1=1150&cropX2=4556&cropY1=15&cropY2=3419,,,,,,,
10,Alex Birkenstock,Birkenstock,alex-birkenstock,no-pic,0.0,53.0,shoes,Fashion & Retail,M,Germany,1639104902515,,,1637.579,1929.0,1929.0,,,,,,,,
11,Alex Shevchenko,Shevchenko,alex-shevchenko,no-pic,0.0,41.0,software,Technology,M,Ukraine,1639104902515,,British Columbia,4000.0,799.0,799.0,https://specials-images.forbesimg.com/imageserve/61a552d47ccd1331f306c32e/416x416.jpg?background=000000&cropX1=798&cropX2=2775&cropY1=171&cropY2=2146,,,,,,,
12,Alexander Knauf,Knauf,alexander-knauf,no-pic,0.0,47.0,building materials,Manufacturing,M,Germany,1639104902515,,,1109.146,2532.0,2532.0,,,,,,,,
13,Alexander Lutsenko & family,Lutsenko,alexander-lutsenko,alexander-lutsenko,0.0,59.0,agribusiness,Food & Beverage,M,Russia,1639104902515,,,1122.041,2515.0,2515.0,,,,,,,,
14,Alexander Samwer,Samwer,alexander-samwer,alexander-samwer,3.317,46.0,tech investments,Technology,M,Germany,1639104902515,,,1243.139,2366.0,2366.0,//specials-images.forbesimg.com/imageserve/5a7e055ea7ea431690131ce8/416x416.jpg?background=000000&cropX1=8&cropX2=1711&cropY1=127&cropY2=1829,,,,,,,
15,Alexander Tedja,Tedja,alexander-tedja,alexander-tedja,-13.828,76.0,real estate,Real Estate,M,Indonesia,1639104902515,,,1126.939,2505.0,2505.0,https://specials-images.forbesimg.com/imageserve/61b1225c4c0e96bec2c07bcd/416x416.jpg?background=000000&cropX1=223&cropX2=957&cropY1=0&cropY2=734,,,,,,,
16,Alexis Lê-Quôc,Lê-Quôc,alexis-le-quoc,no-pic,-144.609,47.0,cloud computing,Technology,M,United States,1639104902515,NY,New York,3658.029,899.0,899.0,//specials-images.forbesimg.com/imageserve/5ebd9e4a59928a0006430948/416x416.jpg?background=000000&cropX1=669&cropX2=3182&cropY1=420&cropY2=2931,,,,,,,
17,Alfred Eckert,Eckert,alfred-eckert,no-pic,0.0,,,,,United States,1639104902515,,,1046.192,2604.0,2604.0,,,,,,,,
18,Alfred West Jr,West,alfred-west-jr,no-pic,-15.87,79.0,money management,Finance & Investments,M,United States,1639104902515,PA,Pennsylvania,1394.489,2184.0,2184.0,,,,,,,,
19,Ali Erdemoglu,Erdemoglu,ali-erdemoglu,no-pic,44.529,62.0,carpet,Manufacturing,M,Turkey,1639104902515,,,1552.545,2011.0,2011.0,https://specials-images.forbesimg.com/imageserve/606b3801fb2da6f71fd2b915/416x416.jpg?background=000000&cropX1=0&cropX2=958&cropY1=0&cropY2=958,,,,,,,
20,Ali Ghodsi,Ghodsi,ali-ghodsi,no-pic,0.0,43.0,data analytics,Technology,M,Sweden,1639104902515,CA,California,1800.0,1786.0,1786.0,,,,,,,,
21,Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,0.0,63.0,petrochemicals,Manufacturing,M,India,1639104902515,,,2193.786,1527.0,1527.0,//specials-images.forbesimg.com/imageserve/5e782b2cd8e1ae0007b73ae9/416x416.jpg?background=000000&cropX1=379&cropX2=3247&cropY1=82&cropY2=2947,,,,,,,
22,Amnon Shashua,Shashua,amnon-shashua,no-pic,0.0,61.0,automotive technology,Automotive,M,Israel,1639104902515,,,1380.0,2206.0,2206.0,,,,,,,,
23,An Shu,An,an-shu,no-pic,-13.671,,commercial services,,M,United States,1639104902515,,Jiangsu,1217.261,2397.0,2397.0,,,,,,,,
