,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
0,A. Jayson Adair,Adair,a-jayson-adair,-12.191,52.0,damaged cars,Automotive,M,United States,1376.511,"['damaged cars', ' Self Made']","damaged cars, Self Made","Dallas, Texas",United States,Married,2,,,,True
1,Abhay Soi,Soi,abhay-soi,31.453,48.0,healthcare,Healthcare,M,India,1078.053,"['healthcare', ' Self Made']","healthcare, Self Made","Mumbai, India",India,Married,2,"Master of Business Administration, European University; Bachelor of Arts/Economics, St Stephen's College (India)",,,True
2,Adam Foroughi,Foroughi,adam-foroughi,-147.507,41.0,mobile games,Media & Entertainment,M,United States,2536.112,"['mobile games', ' Self Made']","mobile games, Self Made","Truckee, California",United States,Married,,,,,True
3,Adam Neumann,Neumann,adam-neumann,-19.834,42.0,WeWork ,Real Estate,M,Israel,1498.747,"['WeWork', ' Self Made']","WeWork, Self Made","New York, New York",Israel,Married,5,City University of New York Baruch,,,True
4,Alan Miller & family,Miller,alan-miller-1,-5.252,84.0,healthcare services,Healthcare,M,United States,1260.555,"['healthcare services', ' Self Made']","healthcare services, Self Made","Lower Merion, Pennsylvania",United States,Married,3,"Bachelor of Arts/Economics, College of William & Mary; Master of Business Administration, The Wharton School of the University of Pennsylvania",,,True
5,Alan Rydge,Rydge,alan-rydge,-11.143,69.0,entertainment,Media & Entertainment,M,Australia,1091.347,"['entertainment', ' Self Made']","entertainment, Self Made","Sydney, Australia",Australia,Married,,,,,True
6,Albert Avdolyan,Avdolyan,albert-avdolyan,2.094,51.0,"oil, mining",Energy,M,Russia,1096.222,"['oil', ' mining', ' Self Made']","oil, mining, Self Made","Moscow, Russia",Russia,Married,4,"Master of Laws, Irkutsk State University",,,True
7,Alberto Bombassei,Bombassei,alberto-bombassei,-21.611,81.0,automotive brakes,Automotive,M,Italy,2692.642,['automotive brakes'],automotive brakes,"Bergamo, Italy",Italy,Married,2,,,,False
8,Alberto Prada,Prada,alberto-prada,-23.644,67.0,luxury goods,Fashion & Retail,M,Italy,2251.58,['luxury goods'],luxury goods,"Milan, Italy",Italy,,,,,,False
9,Alex Beard,Beard,alex-beard,-5.815,54.0,"mining, commodities",Metals & Mining,M,United Kingdom,1803.269,"['mining', ' commodities', ' Self Made']","mining, commodities, Self Made","London, United Kingdom",United Kingdom,Married,,"Master of Science, Oxford University",,,True
10,Alex Birkenstock,Birkenstock,alex-birkenstock,0.0,53.0,shoes,Fashion & Retail,M,Germany,1637.579,['shoes'],shoes,,Germany,,,,,,False
11,Alex Shevchenko,Shevchenko,alex-shevchenko,0.0,41.0,software,Technology,M,Ukraine,4000.0,"['software', ' Self Made']","software, Self Made",Canada,Ukraine,,,"Master of Business Administration, University of Toronto",,,True
12,Alexander Knauf,Knauf,alexander-knauf,0.0,47.0,building materials,Manufacturing,M,Germany,1109.146,['building materials'],building materials,,Germany,,,,,,False
13,Alexander Lutsenko & family,Lutsenko,alexander-lutsenko,0.0,59.0,agribusiness,Food & Beverage,M,Russia,1122.041,"['agribusiness', ' Self Made']","agribusiness, Self Made",Kaliningrad,Russia,Married,2,,,,True
14,Alexander Samwer,Samwer,alexander-samwer,3.317,46.0,tech investments,Technology,M,Germany,1243.139,"['tech investments', ' Self Made']","tech investments, Self Made","Munich, Germany",Germany,Married,1,"Master of Business Administration, Harvard Business School; Master of Arts, Oxford University",,,True
15,Alexander Tedja,Tedja,alexander-tedja,-13.828,76.0,real estate,Real Estate,M,Indonesia,1126.939,"['real estate', ' Self Made']","real estate, Self Made","Jakarta, Indonesia",Indonesia,Married,4,,,,True
16,Alexis Lê-Quôc,Lê-Quôc,alexis-le-quoc,-144.609,47.0,cloud computing,Technology,M,United States,3658.029,"['cloud computing', ' Self Made']","cloud computing, Self Made","New York, New York",United States,Married,1,,8,,True
17,Alfred Eckert,Eckert,alfred-eckert,0.0,,,,,United States,1046.192,,,,,,,,,,False
18,Alfred West Jr,West,alfred-west-jr,-15.87,79.0,money management,Finance & Investments,M,United States,1394.489,"['money management', ' Self Made']","money management, Self Made","Paoli, Pennsylvania",United States,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",,,True
19,Ali Erdemoglu,Erdemoglu,ali-erdemoglu,44.529,62.0,carpet,Manufacturing,M,Turkey,1552.545,"['carpet', ' Self Made']","carpet, Self Made","Istanbul, Turkey",Turkey,Married,3,,,,True
20,Ali Ghodsi,Ghodsi,ali-ghodsi,0.0,43.0,data analytics,Technology,M,Sweden,1800.0,"['data analytics', ' Self Made']","data analytics, Self Made","San Francisco, California",Sweden,Married,,"Ph.D, KTH Royal Institute of Technology; Master of Business Administration, Mid Sweden University; Master of Science in Engineering, Mid Sweden University",,,True
21,Aloke Lohia,Lohia,aloke-lohia,0.0,63.0,petrochemicals,Manufacturing,M,India,2193.786,['petrochemicals'],petrochemicals,"Bangkok, Thailand",India,Married,3,,,,False
22,Amnon Shashua,Shashua,amnon-shashua,0.0,61.0,automotive technology,Automotive,M,Israel,1380.0,"['automotive technology', ' Self Made']","automotive technology, Self Made","Kfar Shmaryahu, Israel",Israel,,,,,,True
23,An Shu,An,an-shu,-13.671,,commercial services,,M,United States,1217.261,['commercial services'],commercial services,"Suzhou, China",United States,,,,,,False
24,Analjit Singh,Singh,analjit-singh,-0.828,67.0,healthcare,Healthcare,M,India,999.84,['healthcare'],healthcare,"Delhi, India",India,Married,3,"Bachelor of Arts/Science, Delhi University; Master of Business Administration, Boston University",,,False
25,Anand Deshpande,Deshpande,anand-deshpande,15.464,59.0,technology,Technology,M,India,1330.632,"['technology', ' Self Made']","technology, Self Made","Pune, India",India,Married,2,"Bachelor of Technology, Indian Institute of Technology (IIT) Kharagpur, India; Ph.D, Indiana University - Bloomington",,,True
26,Anant Asavabhokin,Asavabhokin,anant-asavabhokin,10.566,71.0,real estate,Real Estate,M,Thailand,1125.349,"['real estate', ' Self Made']","real estate, Self Made","Bangkok, Thailand",Thailand,Married,3,,,,True
27,André Kasprzak,Kasprzak,andre-kasprzak,0.0,35.0,shoes,Fashion & Retail,M,Denmark,1322.891,['shoes'],shoes,Denmark,Denmark,,,,,,False
28,Andrea Della Valle,Della Valle,andrea-della-valle,0.71,56.0,shoes,Fashion & Retail,M,Italy,1016.819,['shoes'],shoes,"Casette D'ete, Italy",Italy,Married,3,,,,False
29,Andrei Komarov,Komarov,andrei-komarov,0.0,55.0,manufacturing,Manufacturing,M,Russia,1367.113,"['manufacturing', ' Self Made']","manufacturing, Self Made","Moscow, Russia",Russia,Married,6,"Bachelor of Arts/Science, Moscow Institute of Chemical Engineering",,,True
30,Andrei Molchanov,Molchanov,andrei-molchanov,0.0,50.0,construction materials,Construction & Engineering,M,Russia,1102.072,"['construction materials', ' Self Made']","construction materials, Self Made","Moscow, Russia",Russia,Married,6,"Masters of Public Administration, Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",,,True
31,Andrew Brode,Brode,andrew-brode,4.527,81.0,"publishing, investments",Finance & Investments,M,United Kingdom,1026.949,"['publishing', ' investments']","publishing, investments",,United Kingdom,Married,2,,,,False
32,Andrey Blokh,Blokh,andrey-blokh,-20.088,57.0,cannabis,Manufacturing,M,Russia,1181.145,"['cannabis', ' Self Made']","cannabis, Self Made","Moscow, Russia",Russia,,3,,,,True
33,Andy Fang,Fang,andy-fang,-53.668,29.0,food delivery app,Technology,M,United States,2172.403,"['food delivery app', ' Self Made']","food delivery app, Self Made","MONTE VISTA, California",,,,"Bachelor of Arts/Science, Stanford University",,,True
34,Anna Kasprzak,Kasprzak,anna-kasprzak,0.0,32.0,shoes,Fashion & Retail,F,Denmark,1322.891,['shoes'],shoes,"Haderslev, Denmark",Denmark,In Relationship,1,,,,False
35,Anne Werninghaus,Werninghaus,anne-werninghaus,14.394,35.0,industrial machinery,Manufacturing,F,Brazil,1146.493,['industrial machinery'],industrial machinery,"Joinville, Brazil",Brazil,Married,2,,,,False
36,Anthony Casalena,Casalena,anthony-casalena,-78.569,39.0,,Technology,M,United States,1577.235,,,"Monkton, Maryland",United States,Single,,,,,False
37,Anthony Eisen,Eisen,anthony-eisen,-46.322,50.0,fintech,Finance & Investments,M,Australia,1442.591,"['fintech', ' Self Made']","fintech, Self Made","Melbourne, Australia",Australia,,,"Bachelor of Commerce, University of New South Wales",,,True
38,Anton Rabie,Rabie,anton-rabie,-6.814,49.0,toys,Manufacturing,M,Canada,1099.259,"['toys', ' Self Made']","toys, Self Made","Toronto, Canada",Canada,,,"Bachelor of Arts/Science, Western University",,,True
39,Antonio Marcegaglia,Marcegaglia,antonio-marcegaglia,0.0,57.0,steel,Metals & Mining,M,Italy,1292.033,['steel'],steel,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",,,False
40,Anu Aga,Aga,anu-aga,68.175,79.0,engineering,Construction & Engineering,F,India,1751.972,['engineering'],engineering,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Bombay University",,,False
41,Anurang Jain,Jain,anurang-jain-1,19.194,59.0,auto parts,Manufacturing,M,India,1973.934,"['auto parts', ' Self Made']","auto parts, Self Made","Aurangabad, India",India,Married,2,,,,True
42,Apoorva Mehta,Mehta,apoorva-mehta,0.0,35.0,grocery delivery service,Technology,M,Canada,3500.0,"['grocery delivery service', ' Self Made']","grocery delivery service, Self Made","San Francisco, California",,,,"Bachelor of Arts/Science, University of Waterloo",,,True
43,Art Levinson,Levinson,art-levinson,-5.166,,"Genentech, Apple",,M,United States,1622.952,"['Genentech', ' Apple', ' Self Made']","Genentech, Apple, Self Made",,United States,,,,,,True
44,Artem Khachatryan,Khachatryan,artem-khachatryan,0.0,46.0,retail,Fashion & Retail,M,Russia,3100.0,"['retail', ' Self Made']","retail, Self Made","Moscow, Russia",Russia,,,"Master of Science, Moscow State Mining University",,,True
45,Arun Bharat Ram,Bharat Ram,arun-bharat-ram,13.155,81.0,chemicals,Manufacturing,M,India,3208.876,['chemicals'],chemicals,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan",,,False
46,Arvind Lal,Lal,arvind-lal,-11.925,72.0,medical diagnostics,Healthcare,M,India,2214.728,['medical diagnostics'],medical diagnostics,"Delhi, India",India,Married,2,,,,False
47,Ashok Kajaria,Kajaria,ashok-kajaria,6.014,74.0,tiles,Manufacturing,M,India,1198.09,"['tiles', ' Self Made']","tiles, Self Made","Delhi, India",India,Married,2,"Bachelor of Science in Engineering, UCLA",,,True
48,August Troendle,Troendle,august-troendle,-54.809,65.0,pharmaceutical services,Healthcare,M,United States,1837.924,"['pharmaceutical services', ' Self Made']","pharmaceutical services, Self Made","Cincinnati, Ohio",United States,,,"Medical Doctor, University of Maryland",,,True
49,Austin Russell,Russell,austin-russell,34.063,26.0,sensors,Automotive,M,United States,1612.817,"['sensors', ' Self Made']","sensors, Self Made","Orlando, Florida",,,,"Drop Out, Stanford University",8,,True
50,Bai Baokun,Bai,bai-baokun,119.169,,hardware,Manufacturing,M,China,3450.547,"['hardware', ' Self Made']","hardware, Self Made","Dongguan, China",China,,,,,,True
51,Bai Houshan,Bai,bai-houshan,-40.662,57.0,lithium battery,Energy,M,China,2441.497,"['lithium battery', ' Self Made']","lithium battery, Self Made","Ningbo, China",China,,,,,,True
52,Baiju Bhatt,Bhatt,baiju-bhatt,-119.189,36.0,stock trading app,Finance & Investments,M,United States,1478.973,"['stock trading app', ' Self Made']","stock trading app, Self Made","Palo Alto, California",United States,Married,1,"Bachelor of Science, Stanford University",8,,True
53,Balkrishan Goenka,Goenka,balkrishan-goenka,15.065,55.0,textiles,Manufacturing,M,India,2064.847,"['textiles', ' Self Made']","textiles, Self Made","Mumbai, India",India,Married,2,,,,True
54,Bancha Ongkosit,Ongkosit,bancha-ongkosit,12.25,70.0,electronics,Manufacturing,M,Thailand,1160.6,"['electronics', ' Self Made']","electronics, Self Made","Bangkok, Thailand",Thailand,Married,3,,,,True
55,Bang Si-hyuk,Bang,bang-si-hyuk,122.51,49.0,entertainment ,Media & Entertainment,M,South Korea,3755.203,"['entertainment', ' Self Made']","entertainment, Self Made","Seoul, South Korea",South Korea,Single,,,,,True
56,Barbara Benetton,Benetton,barbara-benetton,7.965,52.0,"fashion retail, investments",Fashion & Retail,F,Italy,1613.715,"['fashion retail', ' investments']","fashion retail, investments","Campodoro, Italy",Italy,,,,,,False
